year,id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1958,1343,32.0,Final,,1958-06-29,0,1,BRA,SWE,Brazil,Sweden,5.0,2.0,,,BRA,,,,,,Rasunda Stadium,,,,
1962,1473,2.0,Group Matches,Group 2,1962-05-30,0,1,CHI,SUI,Chile,Switzerland,3.0,1.0,,,CHI,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1479,1.0,Group Matches,Group 1,1962-05-30,0,1,URU,COL,Uruguay,Colombia,2.0,1.0,,,URU,,,,,,Carlos Dittborn,,,,
1962,1461,3.0,Group Matches,Group 3,1962-05-30,0,1,BRA,MEX,Brazil,Mexico,2.0,0.0,,,BRA,,,,,,Estadio Sausalito,,,,
1962,1447,4.0,Group Matches,Group 4,1962-05-30,0,1,ARG,BUL,Argentina,Bulgaria,1.0,0.0,,,ARG,,,,,,Estadio Braden Copper Co.,,,,
1962,1490,8.0,Group Matches,Group 4,1962-05-31,0,1,HUN,ENG,Hungary,England,2.0,1.0,,,HUN,,,,,,Estadio Braden Copper Co.,,,,
1962,1563,5.0,Group Matches,Group 1,1962-05-31,0,1,URS,YUG,Soviet Union,Yugoslavia,2.0,0.0,,,URS,,,,,,Carlos Dittborn,,,,
1962,1507,6.0,Group Matches,Group 2,1962-05-31,0,1,FRG,ITA,Germany FR,Italy,0.0,0.0,,,,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1498,7.0,Group Matches,Group 3,1962-05-31,0,1,TCH,ESP,Czechoslovakia,Spain,1.0,0.0,,,TCH,,,,,,Estadio Sausalito,,,,
1962,1450,12.0,Group Matches,Group 4,1962-06-02,0,1,ENG,ARG,England,Argentina,3.0,1.0,,,ENG,,,,,,Estadio Braden Copper Co.,,,,
1962,1564,9.0,Group Matches,Group 1,1962-06-02,0,1,YUG,URU,Yugoslavia,Uruguay,3.0,1.0,,,YUG,,,,,,Carlos Dittborn,,,,
1962,1472,10.0,Group Matches,Group 2,1962-06-02,0,1,CHI,ITA,Chile,Italy,2.0,0.0,,,CHI,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1462,11.0,Group Matches,Group 3,1962-06-02,0,1,BRA,TCH,Brazil,Czechoslovakia,0.0,0.0,,,,,,,,,Estadio Sausalito,,,,
1962,1470,16.0,Group Matches,Group 4,1962-06-03,0,1,HUN,BUL,Hungary,Bulgaria,6.0,1.0,,,HUN,,,,,,Estadio Braden Copper Co.,,,,
1962,1497,15.0,Group Matches,Group 3,1962-06-03,0,1,ESP,MEX,Spain,Mexico,1.0,0.0,,,ESP,,,,,,Estadio Sausalito,,,,
1962,1478,13.0,Group Matches,Group 1,1962-06-03,0,1,URS,COL,Soviet Union,Colombia,4.0,4.0,,,,,,,,,Carlos Dittborn,,,,
1962,1510,14.0,Group Matches,Group 2,1962-06-03,0,1,FRG,SUI,Germany FR,Switzerland,2.0,1.0,,,FRG,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1471,18.0,Group Matches,Group 2,1962-06-06,0,1,FRG,CHI,Germany FR,Chile,2.0,0.0,,,FRG,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1460,19.0,Group Matches,Group 3,1962-06-06,0,1,BRA,ESP,Brazil,Spain,2.0,1.0,,,BRA,,,,,,Estadio Sausalito,,,,
1962,1562,17.0,Group Matches,Group 1,1962-06-06,0,1,URS,URU,Soviet Union,Uruguay,2.0,1.0,,,URS,,,,,,Carlos Dittborn,,,,
1962,1451,20.0,Group Matches,Group 4,1962-06-06,0,1,HUN,ARG,Hungary,Argentina,0.0,0.0,,,,,,,,,Estadio Braden Copper Co.,,,,
1962,1464,24.0,Group Matches,Group 4,1962-06-07,0,1,ENG,BUL,England,Bulgaria,0.0,0.0,,,,,,,,,Estadio Braden Copper Co.,,,,
1962,1544,23.0,Group Matches,Group 3,1962-06-07,0,1,MEX,TCH,Mexico,Czechoslovakia,3.0,1.0,,,MEX,,,,,,Estadio Sausalito,,,,
1962,1480,21.0,Group Matches,Group 1,1962-06-07,0,1,YUG,COL,Yugoslavia,Colombia,5.0,0.0,,,YUG,,,,,,Carlos Dittborn,,,,
1962,1532,22.0,Group Matches,Group 2,1962-06-07,0,1,ITA,SUI,Italy,Switzerland,3.0,0.0,,,ITA,,,,,,Estadio Nacional Julio Martínez Prádanos,,,,
1962,1474,25.0,Quarter-final,,1962-06-10,0,1,CHI,URS,Chile,Soviet Union,2.0,1.0,,,CHI,,,,,,Carlos Dittborn,,,,
1962,1525,28.0,Quarter-final,,1962-06-10,0,1,TCH,HUN,Czechoslovakia,Hungary,1.0,0.0,,,TCH,,,,,,Estadio Braden Copper Co.,,,,
